"행정구역별(읍면동)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"면부",33406,17675,15731,31443,16010,15433,1963,1665,298,15247,14819,48,380,15198,10341,3282,712,459,404,1114
"동부",886662,455887,430775,869707,446383,423324,16955,9504,7451,369590,364028,167,5395,315584,42946,240671,6371,20450,5146,11266
"중구",204622,103223,101399,202036,102177,99859,2586,1046,1540,87942,87021,28,893,70725,14456,46229,1895,6807,1338,2705
"남구",311172,158893,152279,305206,155826,149380,5966,3067,2899,134658,132411,77,2170,111970,13263,85999,2301,8091,2316,6468
"동구",154118,81404,72714,148850,77823,71027,5268,3581,1687,63347,61785,29,1533,53790,7801,40025,1362,3764,838,1189
"북구",216750,112367,104383,213615,110557,103058,3135,1810,1325,83643,82811,33,799,79099,7426,68418,813,1788,654,904
"울주군",223854,117193,106661,214457,111003,103454,9397,6190,3207,93158,89970,97,3091,84571,21929,54868,2165,4069,1540,3489
"세종특별자치시",382589,192165,190424,375392,187982,187410,7197,4183,3014,156289,154019,97,2173,150278,16091,130572,1270,1633,712,3712
"읍부",49486,26271,23215,47173,25061,22112,2313,1210,1103,22733,21725,30,978,16601,2841,11761,740,890,369,358
"면부",49732,27312,22420,46603,25024,21579,3129,2288,841,24982,24139,55,788,18385,12425,4750,216,651,343,1262
"동부",283371,138582,144789,281616,137897,143719,1755,685,1070,108574,108155,12,407,115292,825,114061,314,92,X,2092
"세종시",382589,192165,190424,375392,187982,187410,7197,4183,3014,156289,154019,97,2173,150278,16091,130572,1270,1633,712,3712
"경기도",13717827,6938563,6779264,13116902,6591993,6524909,600925,346570,254355,5617507,5406963,4328,206216,4725372,505266,3358597,133617,693431,34461,348683
"읍부",1432525,747416,685109,1346920,692386,654534,85605,55030,30575,583379,557683,697,24999,535368,84037,347353,23535,74989,5454,25927
"면부",775226,430619,344607,686400,362904,323496,88826,67715,21111,333789,311086,1049,21654,274777,165424,54189,9692,38920,6552,31588
"동부",11510076,5760528,5749548,11083582,5536703,5546879,426494,223825,202669,4700339,4538194,2582,159563,3915227,255805,2957055,100390,579522,22455,291168
"수원시",1216349,613879,602470,1160108,585103,575005,56241,28776,27465,515530,492051,260,23219,395198,30351,293465,9065,59881,2436,28158
"장안구",276081,139587,136494,265854,134421,131433,10227,5166,5061,113317,109192,73,4052,88907,8432,58406,1775,19589,705,1753
"권선구",371343,187584,183759,355857,179798,176059,15486,7786,7700,156392,150221,43,6128,125375,9531,90036,2487,22491,830,5258
