Business status,Address,Street name address,Business name,License date,Date of closure
영업/정상,서울특별시 서초구 우면동 761,서울특별시 서초구 양재대로2길 100-30 (우면동),정해네트웍스(주) 서초 하이웨이 주유소,2013-02-26,
영업/정상,서울특별시 관악구 신림동 1635-113,서울특별시 관악구 문성로 223-1 (신림동),관악석유,1996-05-07,
폐업,서울특별시 은평구 녹번동 59-1,서울특별시 은평구 통일로 600 (녹번동),지에스칼텍스(주)녹번주유소,1976-05-27,2023-09-12
영업/정상,서울특별시 서대문구 연희동 220-55 구도일주유소,"서울특별시 서대문구 성산로 312, 구도일주유소 (연희동)",(주)한화미 구도일주유소 두꺼비,1975-03-08,
영업/정상,서울특별시 강남구 개포동 1164-2,서울특별시 강남구 양재대로 339 (개포동),대양산업(주)개포주유소,1984-10-15,
영업/정상,서울특별시 중랑구 망우동 458-6,서울특별시 중랑구 용마산로 487 (망우동),우림주유소,2006-04-20,
폐업,서울특별시 노원구 공릉동 596-10,서울특별시 노원구 동일로 1008 (공릉동),노원주유소,2001-03-24,2023-08-31
영업/정상,서울특별시 중랑구 면목동 161-17,서울특별시 중랑구 동일로 600 (면목동),대원주유소,2003-10-01,
영업/정상,서울특별시 중랑구 신내동 347-2,서울특별시 중랑구 용마산로 716 (신내동),(주)기지에너지,2001-02-09,
영업/정상,서울특별시 구로구 궁동 283-2,서울특별시 구로구 오리로 1299 (궁동),(주)서울에너지 궁동주유소,1992-08-26,
영업/정상,서울특별시 중랑구 면목동 175-1,서울특별시 중랑구 동일로 627 (면목동),면목self주유소,1994-01-27,
영업/정상,서울특별시 동작구 상도동 190-1,서울특별시 동작구 상도로 139 (상도동),매일주유소,1993-12-28,
영업/정상,서울특별시 중구 필동2가 51-1,서울특별시 중구 퇴계로 228 (필동2가),SK에너지 직영 퇴계로주유소,1976-05-27,
영업/정상,서울특별시 영등포구 영등포동 426-90,서울특별시 영등포구 경인로 822 (영등포동),(주)대경유업 영등포현대셀프,2003-10-01,
영업/정상,서울특별시 도봉구 창동 603-84,서울특별시 도봉구 덕릉로 267 (창동),대성산업(주)신창주유소,1989-10-13,
영업/정상,서울특별시 도봉구 방학동 705-15,서울특별시 도봉구 도봉로 706 (방학동),구도일주유소 도봉,1976-05-24,
영업/정상,서울특별시 강남구 신사동 563-10,서울특별시 강남구 도산대로 163 (신사동),에이치디현대오일뱅크(주) 직영 신사현대주유소,1994-02-08,
영업/정상,서울특별시 중랑구 면목동 155-57,서울특별시 중랑구 동일로 654 (면목동),주식회사한화미 구도일주유소동천,1993-12-30,
영업/정상,서울특별시 중랑구 상봉동 109-45,서울특별시 중랑구 봉우재로 105 (상봉동),대양주유소,1992-04-24,
영업/정상,서울특별시 도봉구 쌍문동 103-7,서울특별시 도봉구 도봉로 437 (쌍문동),삼미상사(주)북부주유소,1970-06-22,
영업/정상,서울특별시 중구 장충동1가 31-1 ,서울특별시 중구 장충단로 202 (장충동1가),서울석유(주) 장충주유소,19760521,
폐업,서울특별시 동대문구 이문동 255-119 ,,신사3주유소,19861104,20000101
영업/정상,서울특별시 성북구 석관동 94-7,서울특별시 성북구 한천로66길 49 (석관동),(주)동화오일,1999-07-26,
영업/정상,서울특별시 도봉구 창동 650-65,서울특별시 도봉구 도봉로 434 (창동),동일석유(주)창동주유소,1995-02-09,
영업/정상,서울특별시 도봉구 창동 744,서울특별시 도봉구 마들로 574 (창동),극동유화(주) 대안주유소,1993-12-31,
영업/정상,서울특별시 송파구 방이동 149-3,서울특별시 송파구 백제고분로 474 (방이동),유한회사 호림플러스홀딩스 남성주유소,1993-12-10,
영업/정상,"서울특별시 도봉구 방학동 691 3,4,5호",서울특별시 도봉구 방학로 142 (방학동),(주)자연에너지 햇살주유소,1993-10-13,
영업/정상,서울특별시 도봉구 쌍문동 342-1,서울특별시 도봉구 노해로 161 (쌍문동),(주)쌍문셀프주유소,1992-04-24,
영업/정상,,서울특별시 은평구 통일로 1031 (진관동),뉴타운 셀프주유소,2017-02-08,
영업/정상,서울특별시 은평구 신사동 35-11,서울특별시 은평구 증산로 423 (신사동),지에스칼텍스(주)신사제일주유소,1997-10-22,
영업/정상,서울특별시 은평구 증산동 222-6,서울특별시 은평구 수색로 188 (증산동),타이거주유소,1994-02-22,
영업/정상,서울특별시 은평구 응암동 594-1,서울특별시 은평구 응암로 163 (응암동),응암주유소,1993-06-23,
영업/정상,서울특별시 은평구 신사동 34-37,서울특별시 은평구 증산로 441 (신사동),주식회사 오일닷컴 다회주유소,1992-05-09,
영업/정상,서울특별시 은평구 불광동 105-118,서울특별시 은평구 연서로 314 (불광동),불광주유소,1992-05-09,
영업/정상,서울특별시 은평구 수색동 314-1,서울특별시 은평구 수색로 350 (수색동),지에스칼텍스(주)수색뉴타운 주유소,1980-03-19,
영업/정상,서울특별시 은평구 수색동 154-5,서울특별시 은평구 수색로 236 (수색동),수색훼미리주유소,1978-05-28,
영업/정상,서울특별시 은평구 갈현동 1-6,서울특별시 은평구 통일로 945 (갈현동),서울석유(주) 박석고개주유소,1976-05-21,
영업/정상,서울특별시 은평구 녹번동 19-38 대성주유소,"서울특별시 은평구 통일로 642, 대성주유소 (녹번동)",대성주유소,1976-05-11,
영업/정상,서울특별시 은평구 응암동 576-39,서울특별시 은평구 응암로 210 (응암동),지에스칼텍스(주)서부주유소,1976-04-30,
영업/정상,서울특별시 은평구 불광동 493,서울특별시 은평구 통일로 924 (불광동),서울석유(주) 은평뉴타운주유소,1976-04-25,
영업/정상,서울특별시 용산구 한남동 116-7 ,서울특별시 용산구 독서당로8길 7 (한남동),한남석유,19951011,
영업/정상,서울특별시 강남구 논현동 221-15,서울특별시 강남구 논현로 640 (논현동),유한책임회사 동하석유,1993-12-29,
영업/정상,서울특별시 관악구 봉천동 729-4,서울특별시 관악구 보라매로 26 (봉천동),대양석유(주)보라매주유소,1996-03-06,
영업/정상,서울특별시 강남구 도곡동 546-3,서울특별시 강남구 도곡로 162 (도곡동),(주)선진주유소,1992-04-14,
영업/정상,서울특별시 강남구 일원동 624-8,서울특별시 강남구 개포로 654 (일원동),대청주유소,1992-04-14,
영업/정상,서울특별시 강남구 신사동 633,서울특별시 강남구 언주로 842 (신사동),대동석유 압구정주유소,1992-04-14,
영업/정상,서울특별시 강남구 논현동 106-4,서울특별시 강남구 언주로 716 (논현동),주식회사 제이제이네트웍스 제이제이주유소,1992-04-14,
영업/정상,서울특별시 강남구 역삼동 668-13,서울특별시 강남구 논현로 516 (역삼동),에너지플러스 허브 GS타워,1992-04-14,
영업/정상,서울특별시 관악구 신림동 112-47 유림주유소,"서울특별시 관악구 신림로 176, 유림주유소 (신림동)",유림주유소,1993-12-23,
영업/정상,서울특별시 강남구 삼성동 97-1,서울특별시 강남구 봉은사로113길 51 (삼성동),대성석유(주) 동호주유소,1978-01-28,
폐업,서울특별시 강남구 청담동 79-14,서울특별시 강남구 압구정로 426 (청담동),갤러리아주유소,1993-05-15,2023-11-02
영업/정상,서울특별시 관악구 봉천동 1679-30,서울특별시 관악구 남부순환로 1883 (봉천동),행운주유소,1992-11-18,
폐업,서울특별시 용산구 청파동1가 155 ,서울특별시 용산구 청파로67길 3  (청파동1가),동성석유,19901206,20080507
영업/정상,서울특별시 강남구 일원동 645-13,서울특별시 강남구 양재대로55길 3 (일원동),일원주유소,1990-01-24,
폐업,서울특별시 용산구 갈월동 103-17 ,,(주)한진중공업 남영동주유소,20020807,
영업/정상,서울특별시 영등포구 여의도동 17-2,서울특별시 영등포구 국회대로 746 (여의도동),국회대로주유소,1994-01-13,
영업/정상,서울특별시 관악구 남현동 602-306,서울특별시 관악구 과천대로 921 (남현동),SK에너지(주) 대공원주유소,1982-03-17,
영업/정상,서울특별시 관악구 봉천동 1659-1,서울특별시 관악구 남부순환로 1920 (봉천동),서일석유(주) 락성주유소,1976-05-24,
영업/정상,서울특별시 관악구 봉천동 912-15,서울특별시 관악구 남부순환로 1753 (봉천동),시몬주유소,1992-02-14,
영업/정상,서울특별시 관악구 신림동 666-14,서울특별시 관악구 난곡로 108 (신림동),현대주유소,1990-09-18,
영업/정상,서울특별시 관악구 신림동 1641-58,서울특별시 관악구 신림로 290 (신림동),신관주유소,1989-10-23,
영업/정상,서울특별시 관악구 신림동 616-1,서울특별시 관악구 난곡로 206 (신림동),지에스칼텍스(주) 난곡주유소,1989-09-07,
휴업,서울특별시 성동구 성수동2가 19-1,서울특별시 성동구 동일로 129 (성수동2가),에이치디현대오일뱅크(주)직영 효진주유소,2003-10-02,
영업/정상,서울특별시 광진구 자양동 677-5,서울특별시 광진구 자양로 37 (자양동),에이치디현대오일뱅크(주)직영 장호셀프주유소,1987-04-09,
폐업,서울특별시 성동구 용답동 236-1 ,서울특별시 성동구 천호대로 446  (용답동),군자동 주유소,19760524,
폐업,서울특별시 성동구 성수동2가 321-75 ,서울특별시 성동구 성수이로7가길 23 (성수동2가),한일에너지,20040807,
휴업,서울특별시 용산구 서계동 243-29,서울특별시 용산구 만리재로 154 (서계동),대성석유,1979-05-25,
영업/정상,서울특별시 성북구 장위동 43-12,서울특별시 성북구 한천로 612 (장위동),장삼 쌍둥이 주유소,1993-12-29,
영업/정상,서울특별시 성북구 종암동 30-24,서울특별시 성북구 종암로 12 (종암동),에이치디현대오일뱅크(주)직영 고대셀프주유소,1983-12-10,
영업/정상,서울특별시 성북구 정릉동 113-61,서울특별시 성북구 아리랑로 96 (정릉동),에이치디현대오일뱅크(주)직영 아리랑주유소,1976-04-30,
영업/정상,서울특별시 동대문구 장안동 466-8,서울특별시 동대문구 천호대로 453 (장안동),에이치디현대오일뱅크(주)직영 스피드주유소,1993-12-16,
영업/정상,서울특별시 용산구 한남동 707-14 ,서울특별시 용산구 한남대로 82 (한남동),(주)중앙에너비스 에너비스,19760526,
영업/정상,서울특별시 강서구 방화동 500-3,서울특별시 강서구 양천로 13 (방화동),한국공항(주),19890407,
영업/정상,서울특별시 용산구 한남동 726-370,서울특별시 용산구 한남대로 204 (한남동),에이치디현대오일뱅크(주)직영 한남동주유소,2003-09-25,
영업/정상,서울특별시 용산구 남영동 101-3 ,서울특별시 용산구 한강대로76길 17 (남영동),대양석유,20031211,
폐업,서울특별시 중랑구 면목동 502-2 ,,서울석유,20020227,
폐업,서울특별시 중랑구 망우동 23-5 ,,대륭석유,20020227,
영업/정상,서울특별시 관악구 신림동 1571-8,서울특별시 관악구 남부순환로 1520 (신림동),에이치디현대오일뱅크(주) 직영 관악셀프주유소,1993-06-11,
영업/정상,서울특별시 성북구 정릉동 428,서울특별시 성북구 정릉로 218 (정릉동),에이치디현대오일뱅크(주)직영 북악셀프주유소,1996-09-19,
폐업,서울특별시 용산구 한강로3가 40-969 ,서울특별시 용산구 청파로20길 83 (한강로3가),(주)서부티엔디,19890707,
폐업,서울특별시 용산구 이태원동 126-3 ,서울특별시 용산구 이태원로 200 (이태원동),대성산업(주)이태원주유소,19760526,20130331
폐업,서울특별시 용산구 한강로3가 63-103 ,,한강석유,19971105,20081029
영업/정상,서울특별시 성북구 석관동 174-1 ,서울특별시 성북구 화랑로 292 (석관동),우리주유소,19931217,
폐업,서울특별시 마포구 염리동 36-173 ,,염리석유,20070521,
