"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"92";"폐업";"서울특별시 중구 충무로5가 19-8 ";"서울특별시 중구 창경궁로 2-1 (충무로5가)";"충무로5가 주유소";1976-04-28;"20080108"
"93";"폐업";"서울특별시 중구 을지로5가 273-2 ";"서울특별시 중구 동호로 361 (을지로5가)";"을지로5가주유소";1976-04-28;"20021227"
"94";"폐업";"서울특별시 광진구 군자동 473-1 ";NA;"중곡주유소";1976-04-29;"20110406"
"95";"폐업";"서울특별시 강서구 공항동 7-5 ";NA;"(주)공항석유직영 공항주유소";1976-04-29;"20101103"
"96";"폐업";"서울특별시 구로구 고척동 76-74 ";"서울특별시 구로구 경인로 407 (고척동)";"정은주유소";1976-04-29;"20211216"
"97";"영업/정상";"서울특별시 은평구 응암동 576-39";"서울특별시 은평구 응암로 210 (응암동)";"지에스칼텍스(주)서부주유소";1976-04-30;NA
"98";"영업/정상";"서울특별시 성북구 정릉동 113-61";"서울특별시 성북구 아리랑로 96 (정릉동)";"에이치디현대오일뱅크(주)직영 아리랑주유소";1976-04-30;NA
"99";"영업/정상";"서울특별시 중구 신당동 357-6";"서울특별시 중구 동호로 203 (신당동)";"에이치디현대오일뱅크(주)직영장원주유소";1976-04-30;NA
"100";"폐업";"서울특별시 종로구 필운동 246 ";NA;"필운주유소";1976-04-30;NA
"101";"영업/정상";"서울특별시 중구 신당동 101-9 ";"서울특별시 중구 다산로 242 (신당동)";"신당동주유소";1976-04-30;NA
"102";"영업/정상";"서울특별시 용산구 갈월동 11-34 sk갈월동주유소";"서울특별시 용산구 한강대로 322, 갈월동주유소 (갈월동)";"에이치디현대오일뱅크(주)직영 갈월동주유소";1976-04-30;NA
"103";"영업/정상";"서울특별시 용산구 청암동 168-22";"서울특별시 용산구 원효로 9 (청암동)";"에이치디현대오일뱅크(주)직영 강변현대주유소";1976-04-30;NA
"104";"영업/정상";"서울특별시 용산구 동자동 14-125";"서울특별시 용산구 한강대로104길 6 (동자동)";"동자동주유소";1976-04-30;NA
"105";"영업/정상";"서울특별시 성북구 보문동5가 146-7";"서울특별시 성북구 보문로 85 (보문동5가)";"동일주유소";1976-04-30;NA
"106";"영업/정상";"서울특별시 동작구 사당동 1007-47";"서울특별시 동작구 동작대로 73 (사당동)";"에이치디현대오일뱅크(주) 직영 사당셀프주유소";1976-05-01;NA
"107";"폐업";"서울특별시 동작구 노량진동 148-8";"서울특별시 동작구 노량진로 172 (노량진동)";"대성산업(주) 노량진주유소";1976-05-01;"20220615"
"108";"폐업";"서울특별시 동작구 대방동 341-3 ";"서울특별시 동작구 노량진로 2  (대방동)";"서울석유(주) 팔각정주유소";1976-05-02;NA
"109";"영업/정상";"서울특별시 강동구 성내동 439-16";"서울특별시 강동구 양재대로 1323 (성내동)";"(주)소모 신월주유소";1976-05-03;NA
"110";"영업/정상";"서울특별시 중구 무학동 12-2";"서울특별시 중구 다산로 233 (무학동)";"주식회사 타이거통상 다산주유소";1976-05-03;NA
"111";"폐업";"서울특별시 은평구 녹번동 81-15 ";"서울특별시 은평구 서오릉로 32 (녹번동)";"경인주유소";1976-05-03;"20150907"
"112";"폐업";"서울특별시 성동구 성수동1가 671-110 ";"서울특별시 성동구 왕십리로 155  (성수동1가)";"동신 주유소";1976-05-04;NA
"113";"폐업";"서울특별시 중구 남대문로5가 84-17";"서울특별시 중구 퇴계로 15 (남대문로5가)";"지에스칼텍스(주) 직영 역전점";1976-05-04;NA
"114";"영업/정상";"서울특별시 용산구 서계동 47-15";"서울특별시 용산구 청파로 367 (서계동)";"서계주유소";1976-05-04;NA
"115";"폐업";"서울특별시 성북구 길음동 542-4 ";NA;"제일석유";1976-05-04;"20080101"
"116";"폐업";"서울특별시 성북구 종암동 29-10 ";"서울특별시 성북구 종암로 17 (종암동)";"고려주유소";1976-05-04;"20170831"
"117";"폐업";"서울특별시 강서구 방화동 488-1";"서울특별시 강서구 양천로 57 (방화동)";"지에스칼텍스저유(주)개화주유소";1976-05-04;"20050624"
"118";"폐업";"서울특별시 서초구 방배동 750-20 ";"서울특별시 서초구 사평대로 12 (방배동)";"현대오일뱅크(주)직영반포셀프주유소";1976-05-04;"20211018"
"119";"영업/정상";"서울특별시 서초구 반포동 111-2";"서울특별시 서초구 사평대로 94 (반포동)";"신반포주유소";1976-05-04;NA
"120";"영업/정상";"서울특별시 강동구 둔촌동 66-2";"서울특별시 강동구 천호대로 1168 (둔촌동)";"대성석유(주)길동주유소";1976-05-04;NA
"121";"영업/정상";"서울특별시 성북구 하월곡동 18-11 ";"서울특별시 성북구 화랑로 110 (하월곡동)";"장위주유소";1976-05-07;NA
"122";"영업/정상";"서울특별시 마포구 염리동 155-6";"서울특별시 마포구 백범로 126 (염리동)";"에쓰-오일(주) 염리동 주유소";1976-05-07;NA
"123";"폐업";"서울특별시 영등포구 양평동1가 104-1 ";"서울특별시 영등포구 선유로 114 (양평동1가)";"현대오일뱅크(주)직영 선유로셀프주유소";1976-05-07;"20210105"
"124";"폐업";"서울특별시 동대문구 신설동 92-27 92-27.36.37.62.96.1효 ";NA;"신설동주유소";1976-05-08;"20100428"
"125";"영업/정상";"서울특별시 금천구 시흥동 939-4 (시흥대로 569)";"서울특별시 금천구 시흥대로 118 (시흥동)";"지에스칼텍스(주) 일신주유소";1976-05-10;NA
"126";"영업/정상";"서울특별시 광진구 광장동 239-6";"서울특별시 광진구 천호대로 809 (광장동)";"삼호주유소";1976-05-10;NA
"127";"영업/정상";"서울특별시 성북구 길음동 21-73 GS세창주유소 ";"서울특별시 성북구 동소문로 323, GS세창주유소 (길음동)";"지에스칼텍스(주)세창주유소";1976-05-10;NA
"128";"폐업";"서울특별시 송파구 장지동 246-3    ";NA;"지에스칼텍스(주)장지주유소";1976-05-10;NA
"129";"영업/정상";"서울특별시 강동구 상일동 443-8";"서울특별시 강동구 천호대로 1456 (상일동)";"지에스칼텍스(주)동서울주유소";1976-05-10;NA
"130";"영업/정상";"서울특별시 은평구 녹번동 19-38 대성주유소";"서울특별시 은평구 통일로 642, 대성주유소 (녹번동)";"대성주유소";1976-05-11;NA
"131";"영업/정상";"서울특별시 중구 필동2가 3-1";"서울특별시 중구 퇴계로 196 (필동2가)";"필동주유소";1976-05-11;NA
"132";"영업/정상";"서울특별시 강서구 방화동 609-59";"서울특별시 강서구 방화동로 58-2 (방화동)";"(주)타이거오일 방화주유소";1976-05-11;NA
"133";"영업/정상";"서울특별시 서초구 서초동 1303-1 ";"서울특별시 서초구 사평대로 364 (서초동)";"에너지플러스 허브 삼방";1976-05-11;NA
"134";"폐업";"서울특별시 영등포구 대림동 994-1 ";NA;"(주)안국에너지 동신주유소";1976-05-12;"20140313"
"135";"폐업";"서울특별시 종로구 평창동 170 금강파크빌 4동 101호";"서울특별시 종로구 평창12길 8-22, 4동 101호 (평창동,금강파크빌)";"성원이앤에스(주) 영등포지점";1976-05-12;NA
"136";"폐업";"서울특별시 관악구 신림동 1569-8 ";"서울특별시 관악구 남부순환로 1478 (신림동)";"관악주유소";1976-05-13;"20151113"
"137";"폐업";"서울특별시 용산구 한강로3가 65-155 ";"서울특별시 용산구 한강대로 48 (한강로3가)";"용산뉴타운주유소";1976-05-17;NA
